Gene_set,Term,Overlap,P-value,Adjusted P-value,Old P-value,Old Adjusted P-value,Odds Ratio,Combined Score,Genes
Reactome_2022,EML4 And NUDC In Mitotic Spindle Formation R-HSA-9648025,2/97,0.9999958544686944,0.999996464736758,0,0,0.0633232295398181,2.62508974546823e-07,CENPF;BIRC5
Reactome_2022,Anchoring Of Basal Body To Plasma Membrane R-HSA-5620912,1/97,0.9999958544966054,0.999996464736758,0,0,0.0313234011140191,1.2985153479748154e-07,CDK1
Reactome_2022,Metabolism Of Nucleotides R-HSA-15869,3/95,0.9999958820795962,0.999996464736758,0,0,0.0981216340470248,4.040579108340982e-07,RRM2;TK1;TYMS
Reactome_2022,Transcriptional Regulation By RUNX3 R-HSA-8878159,1/95,0.9999958828866652,0.999996464736758,0,0,0.0319941400477192,1.317237717908841e-07,MYC
Reactome_2022,Unattached Kinetochores Signal Amplification Via A MAD2 Inhibitory Signal R-HSA-141444,2/93,0.999995911668302,0.999996464736758,0,0,0.0661243709975083,2.703389145820801e-07,CENPF;BIRC5
Reactome_2022,APC/C-mediated Degradation Of Cell Cycle Proteins R-HSA-174143,4/87,0.999995935600418,0.999996464736758,0,0,0.1451316951933438,5.898744000389801e-07,CCNB1;UBE2C;CDK1;AURKA
Reactome_2022,Signaling By TGF-beta Receptor Complex R-HSA-170834,1/91,0.9999959412414088,0.999996464736758,0,0,0.0334250497729458,1.356644832464523e-07,MYC
Reactome_2022,MAPK6/MAPK4 Signaling R-HSA-5687128,2/90,0.9999959559925796,0.999996464736758,0,0,0.0683923406436495,2.765796923055117e-07,MYC;CDK1
Reactome_2022,Switching Of Origins To A Post-Replicative State R-HSA-69052,1/90,0.9999959561857096,0.999996464736758,0,0,0.0338028742509551,1.3669282233373086e-07,UBE2C
Reactome_2022,Regulation Of TP53 Activity Thru Phosphorylation R-HSA-6804756,1/90,0.9999959561857096,0.999996464736758,0,0,0.0338028742509551,1.3669282233373086e-07,AURKA
Reactome_2022,Glucose Metabolism R-HSA-70326,3/89,0.9999959672229132,0.999996464736758,0,0,0.1050094849996487,4.2348069889657714e-07,PKM;PGK1;ENO1
Reactome_2022,Regulation Of PLK1 Activity At G2/M Transition R-HSA-2565942,3/87,0.9999959949967036,0.999996464736758,0,0,0.1075240972521939,4.3063522627900084e-07,CCNB1;CDK1;AURKA
Reactome_2022,APC/C:Cdc20 Mediated Degradation Of Mitotic Proteins R-HSA-176409,3/75,0.999996039802906,0.999996464736758,0,0,0.1255454850621013,4.971858496034432e-07,CCNB1;UBE2C;CDK1
Reactome_2022,Cyclin A:Cdk2-associated Events At S Phase Entry R-HSA-69656,1/84,0.9999960486507956,0.999996464736758,0,0,0.0362610094090879,1.4328019375821777e-07,MYC
Reactome_2022,Degradation Of Beta-Catenin By Destruction Complex R-HSA-195253,1/84,0.9999960486507956,0.999996464736758,0,0,0.0362610094090879,1.4328019375821777e-07,MYC
Reactome_2022,Activation Of APC/C And APC/C:Cdc20 Mediated Degradation Of Mitotic Proteins R-HSA-176814,3/76,0.999996058859508,0.999996464736758,0,0,0.1238174067789595,4.879827570845597e-07,CCNB1;UBE2C;CDK1
Reactome_2022,Regulation Of APC/C Activators Between G1/S And Early Anaphase R-HSA-176408,3/80,0.9999960706752048,0.999996464736758,0,0,0.117353945148507,4.611226724250207e-07,CCNB1;UBE2C;CDK1
